timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542211279,3.6461456481326517,1.6359997740866845,1.4447275489726625,7.930676972033642,5.204893911169352,3.3561147740184487,1.089933765412782,0.5375675495455564,4.32721020473798,4.832246902705158,2.0662106091607297,1.5873698176604731,2.125940225513857,1.9351062852048544,1.6095029780620866,5.230276811551971,2.9013219688423977,6.442338001409623,8.80990612943029,12.127785594708628,1
1542211280,11.118350144546184,1.927961050023999,1.335250545122897,5.739483192439484,7.690627914845846,5.760161031947647,1.0798236495526714,0.4627828784527109,1.9528042217465855,2.1190236669800817,6.629828052203908,2.481067924197849,1.8792158757264983,5.902964584578073,3.2622717295972126,8.445193802186191,3.054776850373865,6.343469627313382,6.5109496451430875,4.097120499921611,1
1542211280,8.85681507806612,2.877051199027294,1.4700529602136263,6.7448528752480295,7.065734827877696,3.7031982442980236,1.3946062595522302,0.6984209359219238,3.964101793456922,2.193640162007095,4.100092496844069,2.131100403425849,2.3266745396321737,9.109175890799545,4.723202801375296,6.025849877538093,2.876686326758668,6.1709267653163264,7.5803640688205745,4.048925145746957,1
1542211281,16.57250708619858,3.0056099046818248,1.7123384249201083,30.907715126613617,22.19252253179558,6.281521803136727,1.5018844575067387,0.567376167207264,7.9437859903274735,5.409015836854547,4.517770092673089,1.8384635293420588,1.9250470869387197,9.704512661761402,6.499150620750129,5.247250622603633,3.5590035330041214,5.5834935419093865,20.414243084272503,15.017695956236885,1
1542211281,12.760152985324808,2.717867429587363,1.6547820989690916,8.999693104379547,10.94667216036012,5.48640757115421,1.0201905223862708,0.6706746266845326,3.9856023150016355,4.849394040704459,4.25809151354764,1.8241315280762396,1.9211168676880626,5.7806117539702315,2.917046424928715,12.74147115170016,4.710466619112406,6.373780384931363,9.36470638860643,8.517292306577575,1
1542211282,5.901460418139176,2.2287154485196727,1.5515665403485681,7.2558596035070195,8.590993222841476,4.9448406179498425,1.4148651163295227,0.612119689317415,2.6053937170434316,2.1033507840696073,5.0311478488120995,2.841086547463832,2.36521102340354,4.708086146045748,6.079515797612584,3.256445751272438,3.261008380547069,6.298634737240602,12.142379305818695,11.723173371146105,1
1542211282,6.54443276369052,1.7741910015424638,1.2960497114876293,9.249396598000533,5.230243501268349,1.3015362892453686,1.3268036909519556,0.5692179956366069,2.2342753929750705,3.963714235302435,3.966604286889995,2.06593375277929,2.267611835954889,3.740571251726924,5.158519776781163,3.749852922142207,3.3452395737297373,6.314445360930966,11.193733517837696,8.13235187925932,1
1542211283,5.41856145839201,1.484130769027722,1.2276740122790666,4.995634989815328,6.7352214521399745,4.181308064477111,1.3364740819189436,0.7133123772554459,5.2325345835829395,4.987975785801417,2.826168097038431,2.0198175823806657,2.451117265886913,9.37121569296452,8.998760257708044,6.405830768150065,1.9503321318336435,6.2091611012784,7.408569661082973,7.047260379760203,1
1542211283,4.252797653791309,2.450502203260044,1.5288552743706711,7.924658261899456,6.3587469865762385,1.6214693147078754,1.1390091141215684,0.6132566731730753,1.4819753731687322,1.7447739267121554,1.9462782482316427,1.9909293813193503,2.04358899260138,4.040220103882721,4.83636108141746,3.5527956659692954,4.042860528948058,6.532976847468533,8.749647477443272,10.85169227372143,1
1542211284,4.120185361838736,2.488769450952976,1.6714537266053313,6.124365375917039,6.426517210410597,1.2941096149788291,1.035997650378925,0.550443459615652,2.3735703386277365,3.7619241132594374,4.980118315045932,2.2836527936315507,2.035384372880062,0.6296497561242925,2.540556384577315,4.33895928699254,2.6716319664344663,5.975822762481201,11.853818931115816,10.13022225798026,1
1542211284,7.130472450416673,2.4781363902639693,1.610127524230288,5.6787627070478255,5.102670389758409,1.3819895633685217,1.3676866988307776,0.5832944584237415,2.2118932592040625,2.4275666903647446,2.299648295114277,1.178209346428628,1.7763045202350076,3.5221759136209423,1.7126773806099103,5.459697613867274,2.9328235752661307,5.86358562582462,10.38667098972158,10.607812460492397,1
1542211285,6.962964140718584,2.0501786817914143,1.555030206080078,5.268110070388769,8.183580892564464,2.463446551846347,1.9100847449500884,0.7319800697367382,5.774265088109972,6.8146803666669875,4.443944666495625,1.876214014127247,1.9209009783911593,2.55898133422637,5.062154000767771,7.523446250279204,4.245748375092506,6.697500872692579,5.850186613684623,5.568263162068838,1
1542211285,4.96814372102306,2.6665068239786147,1.5994959127747845,7.727969258920066,9.360665578919566,1.6191932098434698,1.2852946750690843,0.7332790515168706,2.490699318257124,5.126288933324113,2.4064911367163204,2.393521825150284,1.9173833725704648,4.4166491032495525,2.5363156082418836,6.297004269561903,4.486418077623624,6.899992652071531,10.384616458462435,9.55083985009696,1
1542211286,5.231014354295129,1.90520588222664,1.528567688774335,5.05326118852466,7.448679249652333,5.63010631143034,1.8771452824527108,0.6820399048697826,5.91063714982802,4.901272391189613,2.7666971949860275,1.8716203897515367,1.805539076758164,2.58660276232094,1.458254067392641,4.676878602280714,2.3042970034880588,6.362577490931249,9.074609629629308,6.924245797928404,1
